,ID,name,UniProt,Gene Name
67,FBpp0298295,Appl-PE,M9NDH5,Appl
68,FBpp0298296,Appl-PF,M9NFQ0,Appl
69,FBpp0070110,CG13369-PA,O77425,CG13369
70,FBpp0070111,Hinfp-PA,O77260,Hinfp
71,FBpp0070112,Hinfp-PC,Q9W5E6,Hinfp
72,FBpp0070113,Hinfp-PB,O77260,Hinfp
73,FBpp0070114,Mybbp1A-PA,Q9W5E4,Mybbp1A
74,FBpp0070115,su(sable)-PA,P22293,su(sable)
75,FBpp0309080,su(sable)-PB,X2JDA8,su(sable)
76,FBpp0309081,su(sable)-PC,P22293,su(sable)
77,FBpp0070116,CG13367-PA,Q9W5E2,CG13367
78,FBpp0300874,Roc1a-PC,B7Z114,Roc1a
79,FBpp0070117,Roc1a-PA,Q9W5E1,Roc1a
80,FBpp0310165,Roc1a-PD,Q9W5E1,Roc1a
81,FBpp0070129,CG5254-PA,Q9V3T2,CG5254
82,FBpp0310321,CG5254-PB,X2JA11,CG5254
83,FBpp0070130,CG5273-PA,Q9W5D6,CG5273
84,FBpp0070131,CG5273-PC,Q9W5D6,CG5273
85,FBpp0070132,CG5273-PB,Q9W5D6,CG5273
86,FBpp0070133,fz3-PA,X2JC46,fz3
87,FBpp0111841,fz3-PB,A8JUT5,fz3
88,FBpp0311620,fz3-PC,X2JC46,fz3
89,FBpp0428122,CG16989-PC,,CG16989
90,FBpp0428123,CG16989-PD,,CG16989
91,FBpp0070137,CG14635-PA,Q9W5C9,CG14635
92,FBpp0288637,CG13358-PD,Q7KW26,CG13358
93,FBpp0070140,CG13359-PA,Q9W5D2,CG13359
94,FBpp0070141,Rbf-PA,Q24472,Rbf
95,FBpp0070142,CG13360-PA,O77436,CG13360
96,FBpp0070143,RpL22-PA,P50887,RpL22
97,FBpp0070144,CG13361-PA,Q9W5D7,CG13361
98,FBpp0070145,CG13362-PA,Q8SXG9,CG13362
99,FBpp0070146,Hmt4-20-PA,Q9W5E0,Hmt4
100,FBpp0300875,Hmt4-20-PB,Q9W5E0,Hmt4
101,FBpp0070150,RpL36-PA,P49630,RpL36
102,FBpp0070151,RpL36-PB,P49630,RpL36
103,FBpp0070152,RpL36-PD,P49630,RpL36
104,FBpp0070153,RpL36-PC,P49630,RpL36
105,FBpp0311481,RpL36-PE,P49630,RpL36
106,FBpp0070154,CG13364-PA,Q9XZS3,CG13364
107,FBpp0070155,CG13365-PA,Q9W5E7,CG13365
108,FBpp0070156,spdi-PA,Q9W5E8,spdi
109,FBpp0110088,spdi-PB,Q0KHX7,spdi
110,FBpp0308517,spdi-PC,Q0KHX7,spdi
111,FBpp0308518,spdi-PD,X2JHS3,spdi
112,FBpp0308519,spdi-PE,Q9W5E8,spdi
113,FBpp0308520,spdi-PF,Q0KHX7,spdi
114,FBpp0308521,spdi-PG,X2J9Z8,spdi
115,FBpp0110101,CG14634-PB,Q9W5C8,CG14634
116,FBpp0070158,CG11664-PA,Q9V3J7,CG11664
117,FBpp0070159,CG11663-PA,Q9W5C5,CG11663
118,FBpp0301850,CG11663-PB,Q9W5C5,CG11663
119,FBpp0070160,MED22-PA,Q9V439,MED22
120,FBpp0298010,CG32815-PC,Q8IRY5,CG32815
121,FBpp0311621,CG32815-PD,Q8IRY5,CG32815
122,FBpp0070162,TRAM-PB,Q9W5C2,TRAM
123,FBpp0070163,TRAM-PA,Q9W5C2,TRAM
124,FBpp0070164,TRAM-PC,Q9W5C2,TRAM
125,FBpp0298011,TRAM-PD,Q9W5C2,TRAM
126,FBpp0304840,TRAM-PE,Q9W5C2,TRAM
127,FBpp0070165,mus81-PA,Q9V3T1,mus81
128,FBpp0070166,CG18823-PA,Q9I7Y5,CG18823
129,FBpp0070167,CG14631-PA,Q9W5B8,CG14631
130,FBpp0070168,CG3021-PA,Q9W5B6,CG3021
131,FBpp0070172,CG14629-PA,Q9W5B4,CG14629
132,FBpp0070173,CG14628-PA,Q9V3V1,CG14628
133,FBpp0070174,CG3655-PA,Q9V3U1,CG3655
134,FBpp0112239,CG3655-PB,Q9V3U1,CG3655
135,FBpp0303757,CG3655-PC,M9PGK1,CG3655
136,FBpp0303758,CG3655-PD,Q9V3U1,CG3655
137,FBpp0070175,Cdc45-PA,O96989,Cdc45
138,FBpp0070176,CG11638-PA,Q8SYN0,CG11638
139,FBpp0070177,TfIIA-S-2-PA,Q9W5B9,TfIIA
140,FBpp0070178,CG3690-PA,Q9V3J5,CG3690
141,FBpp0309602,CG3690-PB,Q9V3J5,CG3690
142,FBpp0070179,CG3699-PA,Q9U1L2,CG3699
143,FBpp0070180,CG3703-PA,Q9W5C1,CG3703
144,FBpp0070181,CG3704-PA,Q9V3R3,CG3704
145,FBpp0070182,CG3706-PA,Q9V3E0,CG3706
146,FBpp0303733,CG3708-PB,Q7KW25,CG3708
147,FBpp0070188,CG3713-PA,Q9V3D7,CG3713
148,FBpp0302607,CG3713-PB,Q9V3D7,CG3713
149,FBpp0307669,CG32814-PB,E4NKK8,CG32814
150,FBpp0070190,CG11378-PA,Q9V3I0,CG11378
151,FBpp0302731,CG11378-PB,Q9V3I0,CG11378
152,FBpp0311622,CG11378-PC,Q9V3I0,CG11378
153,FBpp0070191,CG11379-PA,Q9V3A3,CG11379
154,FBpp0309595,CG11379-PB,Q9V3A3,CG11379
155,FBpp0070192,CG14627-PA,Q9W5B1,CG14627
156,FBpp0302732,CG14627-PB,Q9W5B1,CG14627
157,FBpp0070193,CG14626-PA,Q9W5B0,CG14626
158,FBpp0070194,CG11380-PA,Q9W5A9,CG11380
159,FBpp0311615,CG11380-PB,Q9W5A9,CG11380
160,FBpp0070195,CG14625-PB,Q9U1L6,CG14625
161,FBpp0070196,CG11381-PA,Q9W5A7,CG11381
162,FBpp0070197,CG14624-PA,Q9W5A6,CG14624
163,FBpp0070198,CG11382-PB,Q9V3C6,CG11382
164,FBpp0309596,CG11382-PC,Q9V3C6,CG11382
165,FBpp0070199,CG32812-PA,O77424,CG32812
166,FBpp0309597,CG32812-PB,O77424,CG32812
167,FBpp0070200,fs(1)N-PA,O76904,fs(1)N
168,FBpp0070202,Naa30A-PA,Q95RC0,Naa30A
169,FBpp0302739,Naa30A-PD,M9PGL2,Naa30A
170,FBpp0070204,Tsp2A-PA,O46101,Tsp2A
171,FBpp0292376,Tsp2A-PB,O46101,Tsp2A
172,FBpp0070205,CG11417-PA,O46307,CG11417
173,FBpp0070206,CG14770-PA,Q9W5A2,CG14770
174,FBpp0089110,ssx-PB,Q8IH14,ssx
175,FBpp0308819,ssx-PC,X2JA35,ssx
176,FBpp0308820,ssx-PD,O76876,ssx
177,FBpp0308821,ssx-PE,Q8IH14,ssx
178,FBpp0070208,AMPKalpha-PA,O18645,AMPKalpha
179,FBpp0070209,AMPKalpha-PB,O18645,AMPKalpha
180,FBpp0089374,AMPKalpha-PC,O18645,AMPKalpha
181,FBpp0070210,CG32813-PD,Q9W5A0,CG32813
182,FBpp0070213,CG32813-PB,Q9W5A0,CG32813
183,FBpp0309603,CG32813-PL,Q9W5A0,CG32813
184,FBpp0309604,CG32813-PM,Q9W5A0,CG32813
185,FBpp0309605,CG32813-PN,Q9W5A0,CG32813
186,FBpp0303349,CG32813-PH,Q9W599,CG32813
187,FBpp0303350,CG32813-PI,Q9W5A0,CG32813
188,FBpp0303351,CG32813-PJ,Q9W5A0,CG32813
189,FBpp0303352,CG32813-PK,Q9W5A0,CG32813
190,FBpp0428179,CG32813-PO,,CG32813
191,FBpp0070216,Rilpl-PA,O76878,Rilpl
192,FBpp0304570,Rilpl-PB,M9PG81,Rilpl
193,FBpp0304571,Rilpl-PC,M9PGM0,Rilpl
194,FBpp0070221,Lrpprc2-PA,Q9W592,Lrpprc2
195,FBpp0070222,CG14785-PA,Q9W593,CG14785
196,FBpp0070224,CG3719-PA,O76877,CG3719
197,FBpp0070225,png-PA,O46308,png
198,FBpp0070226,CG12773-PA,O46100,CG12773
199,FBpp0309606,CG12773-PC,O46100,CG12773
200,FBpp0304566,CG12773-PB,M9PDG9,CG12773
201,FBpp0070227,MTPAP-PA,O46102,MTPAP
202,FBpp0089095,MTPAP-PB,Q7KW16,MTPAP
203,FBpp0304567,MTPAP-PC,O46102,MTPAP
204,FBpp0070228,CG11409-PB,O46099,CG11409
205,FBpp0309598,CG11409-PC,O46099,CG11409
206,FBpp0070229,DAAM-PB,Q8IRY0,DAAM
207,FBpp0070231,DAAM-PA,Q7YZA4,DAAM
208,FBpp0309599,DAAM-PG,Q8IRY0,DAAM
209,FBpp0301965,DAAM-PE,Q8IRY0,DAAM
210,FBpp0301966,DAAM-PF,Q8IRY0,DAAM
211,FBpp0292356,DAAM-PD,M9MSM5,DAAM
212,FBpp0292011,CG32811-PB,R9PY44,CG32811
213,FBpp0070234,Atf3-PA,Q9XZS8,Atf3
214,FBpp0303417,Atf3-PB,M9PIP2,Atf3
215,FBpp0311616,Atf3-PC,Q9XZS8,Atf3
216,FBpp0070235,CG11403-PA,Q9XZS9,CG11403
217,FBpp0070240,CG11398-PA,Q9V3X8,CG11398
218,FBpp0311628,CG11398-PD,Q9V3X8,CG11398
219,FBpp0070241,CG11384-PA,Q9V3E4,CG11384
220,FBpp0070242,eIF4E7-PA,Q9W5B3,eIF4E7
221,FBpp0070243,CG14777-PB,Q9W588,CG14777
222,FBpp0308651,CG14777-PD,Q9W588,CG14777
223,FBpp0308652,CG14777-PE,Q9W588,CG14777
224,FBpp0289581,CG14777-PC,Q9W588,CG14777
225,FBpp0311617,CG14777-PF,Q9W588,CG14777
226,FBpp0070244,CG14778-PA,Q9W587,CG14778
227,FBpp0070247,CG14780-PA,Q9W586,CG14780
228,FBpp0070249,rush-PA,O76902,rush
229,FBpp0308661,rush-PB,O76902,rush
230,FBpp0070250,inc-PB,Q9W579,inc
231,FBpp0308663,inc-PD,Q9W579,inc
232,FBpp0308662,inc-PC,Q9W579,inc
233,FBpp0070259,dor-PA,Q24314,dor
234,FBpp0070260,hfw-PA,Q9W568,hfw
235,FBpp0305326,hfw-PB,Q9W568,hfw
236,FBpp0271908,CG14797-PB,Q9W567,CG14797
237,FBpp0300639,CG14797-PC,B4F613,CG14797
238,FBpp0070262,b6-PA,Q9V3N9,b6
239,FBpp0070267,Scgdelta-PA,O76892,Scgdelta
240,FBpp0291384,Scgdelta-PC,O76892,Scgdelta
241,FBpp0291385,Scgdelta-PD,O76892,Scgdelta
242,FBpp0311618,Scgdelta-PE,O76892,Scgdelta
243,FBpp0070268,CG3795-PA,Q8MRL2,CG3795
244,FBpp0310567,CG3795-PB,Q8MRL2,CG3795
245,FBpp0070269,a6-PA,O46341,a6
246,FBpp0303433,a6-PB,O46341,a6
247,FBpp0305327,a6-PC,O46341,a6
248,FBpp0070273,CG3740-PA,Q9W569,CG3740
249,FBpp0070274,Mur2B-PA,O76894,Mur2B
250,FBpp0310121,Mur2B-PC,O76894,Mur2B
251,FBpp0292620,Mur2B-PB,M9MS86,Mur2B
252,FBpp0070275,CG14795-PB,O76888,CG14795
253,FBpp0070277,sta-PA,P38979,sta
254,FBpp0070278,sta-PB,P38979,sta
255,FBpp0308665,sta-PE,P38979,sta
256,FBpp0308666,sta-PF,P38979,sta
257,FBpp0070280,Rab27-PB,O76901,Rab27
258,FBpp0070281,Rab27-PC,Q9W585,Rab27
259,FBpp0070282,CG32808-PA,Q8IRX5,CG32808
260,FBpp0070283,O-fut2-PA,Q9W589,O
261,FBpp0070285,CG14787-PA,Q9W591,CG14787
262,FBpp0070288,CG32806-PA,Q8IRX1,CG32806
263,FBpp0070295,MED18-PA,Q9XZT1,MED18
264,FBpp0112946,MED18-PC,B7Z116,MED18
265,FBpp0070297,CG14803-PA,O46089,CG14803
266,FBpp0308672,CG14803-PB,X2JA69,CG14803
267,FBpp0070298,Vps26-PA,Q9W552,Vps26
268,FBpp0070299,CG14805-PA,Q9W550,CG14805
269,FBpp0070300,Coa8-PA,Q9W549,Coa8
270,FBpp0303802,Coa8-PB,Q9W549,Coa8
271,FBpp0070301,mRpL16-PA,Q9W547,mRpL16
272,FBpp0304831,mRpL16-PB,Q9W547,mRpL16
273,FBpp0070302,mip130-PA,Q9W542,mip130
274,FBpp0070303,Rbcn-3B-PA,Q9W543,Rbcn
275,FBpp0310568,Rbcn-3B-PB,Q9W543,Rbcn
276,FBpp0070304,Ocrl-PA,O46094,Ocrl
277,FBpp0304837,Ocrl-PB,O46094,Ocrl
278,FBpp0070307,CG11596-PB,M9PGG7,CG11596
279,FBpp0070305,CG11596-PC,E4NKI7,CG11596
280,FBpp0070306,CG11596-PA,Q9I7X6,CG11596
281,FBpp0304838,CG11596-PD,M9PGG7,CG11596
282,FBpp0304839,CG11596-PE,M9PGG7,CG11596
283,FBpp0070308,CG3587-PA,O46079,CG3587
284,FBpp0070314,CG4194-PA,Q9W528,CG4194
285,FBpp0070316,Rtca-PA,O77264,Rtca
286,FBpp0310569,Rtca-PB,O77264,Rtca
287,FBpp0070317,CG4045-PA,O77263,CG4045
288,FBpp0070320,CG4199-PC,Q960D4,CG4199
289,FBpp0070321,CG4199-PD,Q960D4,CG4199
290,FBpp0070322,CG4199-PB,Q960D4,CG4199
291,FBpp0070323,CG4199-PA,O77266,CG4199
292,FBpp0289482,CG4199-PG,Q960D4,CG4199
293,FBpp0289483,CG4199-PH,Q960D4,CG4199
294,FBpp0291627,CG4199-PI,Q960D4,CG4199
295,FBpp0070324,CG14054-PA,Q9W530,CG14054
296,FBpp0070325,CG4281-PA,Q9W531,CG4281
297,FBpp0070326,Sik2-PA,Q9W532,Sik2
298,FBpp0070327,moody-PA,Q9W534,moody
299,FBpp0292162,moody-PB,Q9W534,moody
300,FBpp0292163,moody-PC,M9MS14,moody
301,FBpp0292164,moody-PD,M9MS14,moody
302,FBpp0301971,moody-PE,Q9W534,moody
303,FBpp0301972,moody-PF,Q9W534,moody
304,FBpp0070328,CG4325-PA,Q9XZS4,CG4325
305,FBpp0302591,CG4325-PB,Q9XZS4,CG4325
306,FBpp0070331,Actn-PC,M9PGA7,Actn
307,FBpp0070329,Actn-PB,M9MS06,Actn
308,FBpp0070330,Actn-PA,,Actn
309,FBpp0292167,Actn-PD,M9MS06,Actn
310,FBpp0302777,Actn-PF,F0JAG6,Actn
311,FBpp0302778,Actn-PG,M9PGA7,Actn
312,FBpp0302779,Actn-PH,M9PGA7,Actn
313,FBpp0305935,Actn-PI,M9MS06,Actn
314,FBpp0305936,Actn-PJ,M9PGA7,Actn
315,FBpp0070332,usp-PA,P20153,usp
316,FBpp0305937,usp-PB,P20153,usp
317,FBpp0070333,PIG-K-PA,Q8T4E1,PIG
318,FBpp0070335,CG3857-PA,O46080,CG3857
319,FBpp0070336,eIF2Bepsilon-PA,Q9W541,eIF2Bepsilon
320,FBpp0089217,eIF2Bepsilon-PB,Q9W541,eIF2Bepsilon
321,FBpp0070337,Edem1-PC,Q7JUF8,Edem1
322,FBpp0070338,Edem1-PB,Q7JUF8,Edem1
323,FBpp0070339,Edem1-PA,Q7JUF8,Edem1
324,FBpp0304832,Edem1-PE,M9PG98,Edem1
325,FBpp0294034,Edem1-PD,Q7JUF8,Edem1
326,FBpp0070340,CG32801-PA,Q9W545,CG32801
327,FBpp0070346,trr-PC,,trr
328,FBpp0070347,trr-PD,Q8IRW8,trr
329,FBpp0070348,CG14818-PA,O97420,CG14818
330,FBpp0303803,CG14818-PB,O97420,CG14818
331,FBpp0070349,CG14817-PA,Q9W551,CG14817
332,FBpp0311619,CG14817-PB,Q9W551,CG14817
333,FBpp0070350,Pgam5-PA,O46084,Pgam5
334,FBpp0308673,Pgam5-PB,X2JC94,Pgam5
335,FBpp0070351,Pex5-PA,O46085,Pex5
336,FBpp0070352,Pex5-PB,Q7KW08,Pex5
337,FBpp0070353,Gcna-PB,Q9W554,Gcna
338,FBpp0070354,Gcna-PA,Q7KW09,Gcna
339,FBpp0308578,Gcna-PD,Q7KW09,Gcna
340,FBpp0070355,deltaCOP-PA,Q9W555,deltaCOP
341,FBpp0291138,deltaCOP-PB,Q7K7G0,deltaCOP
342,FBpp0070356,Lamtor5-PA,O96824,Lamtor5
343,FBpp0305695,Lamtor5-PB,O96824,Lamtor5
344,FBpp0301697,CG14811-PB,Q9W560,CG14811
345,FBpp0070359,CG4025-PA,O77262,CG4025
346,FBpp0070360,Unc-76-PB,Q9W525,Unc
347,FBpp0070361,Unc-76-PA,Q9W525,Unc
348,FBpp0305896,Unc-76-PC,Q9W525,Unc
349,FBpp0305897,Unc-76-PD,M9PGS9,Unc
350,FBpp0070362,csw-PA,,csw
351,FBpp0070363,csw-PB,L7XAI0,csw
352,FBpp0070364,csw-PC,,csw
353,FBpp0305458,csw-PD,M9PGI1,csw
354,FBpp0070365,D2hgdh-PB,Q7K511,D2hgdh
355,FBpp0070366,D2hgdh-PC,Q7K511,D2hgdh
356,FBpp0070367,D2hgdh-PA,Q7K511,D2hgdh
357,FBpp0070368,Pgd-PA,M9PIS3,Pgd
358,FBpp0303827,Pgd-PB,M9PIS3,Pgd
359,FBpp0070369,CG3630-PA,O46052,CG3630
360,FBpp0301777,CG3630-PB,M9PDL0,CG3630
361,FBpp0302638,CG3630-PC,O46052,CG3630
362,FBpp0302639,CG3630-PD,O46052,CG3630
363,FBpp0070370,ND-B14.5A-PA,O97418,ND
364,FBpp0309795,ND-B14.5A-PB,O97418,ND
365,FBpp0070371,Cyp4d2-PA,X2JI29,Cyp4d2
366,FBpp0311678,Cyp4d2-PB,X2JI29,Cyp4d2
367,FBpp0070372,Cyp4ae1-PA,O46054,Cyp4ae1
368,FBpp0070373,pn-PA,O18399,pn
369,FBpp0070374,CG17776-PA,Q9W513,CG17776
370,FBpp0311676,CG17776-PB,Q9W513,CG17776
371,FBpp0288524,CG17777-PB,Q9W512,CG17777
372,FBpp0309616,CG17777-PC,Q9W512,CG17777
373,FBpp0070376,CG3457-PA,Q9W511,CG3457
374,FBpp0311677,CG3457-PB,Q9W511,CG3457
375,FBpp0070377,Mct1-PA,Q9W509,Mct1
376,FBpp0309617,Mct1-PB,Q9W509,Mct1
377,FBpp0304654,CG14052-PB,M9PDL5,CG14052
378,FBpp0309618,pcx-PE,M9PGU2,pcx
379,FBpp0310566,pcx-PF,P18490,pcx
380,FBpp0304655,pcx-PC,P18490,pcx
381,FBpp0070380,fs(1)K10-PA,P13468,fs(1)K10
382,FBpp0070381,Or2a-PA,O46077,Or2a
383,FBpp0070382,CG3071-PA,Q9W4Z9,CG3071
384,FBpp0070383,CG2854-PA,Q9W4Z5,CG2854
385,FBpp0070385,Raf-PA,P11346,Raf
386,FBpp0310458,Raf-PE,P11346,Raf
387,FBpp0070386,CG2841-PB,Q9W4Z1,CG2841
388,FBpp0070387,CG2841-PC,Q9W4Z1,CG2841
389,FBpp0070388,CG2841-PA,Q9W4Z1,CG2841
390,FBpp0298285,CG2841-PD,Q9W4Z1,CG2841
391,FBpp0298286,CG2841-PE,Q9W4Z1,CG2841
392,FBpp0310194,CG2841-PF,X2JI50,CG2841
393,FBpp0070389,mRpL14-PA,Q9W4Z2,mRpL14
394,FBpp0305877,mRpL14-PB,Q9W4Z2,mRpL14
395,FBpp0070390,Ilp6-PA,Q9W4Z4,Ilp6
396,FBpp0292966,Ilp6-PB,Q9W4Z4,Ilp6
397,FBpp0292967,Ilp6-PC,Q9W4Z4,Ilp6
398,FBpp0305878,Ilp6-PD,Q9W4Z4,Ilp6
399,FBpp0070391,CG14050-PA,Q9W4Z6,CG14050
400,FBpp0301046,CG14050-PB,Q9W4Z6,CG14050
401,FBpp0070392,CG2865-PA,O46070,CG2865
402,FBpp0305178,CG2865-PB,O46070,CG2865
403,FBpp0070395,Grp170-PA,O46067,Grp170
404,FBpp0290016,Grp170-PB,O46067,Grp170
405,FBpp0070396,CG2924-PA,Q29R09,CG2924
406,FBpp0312228,CG2924-PE,Q29R09,CG2924
407,FBpp0290017,CG2924-PB,Q29R09,CG2924
408,FBpp0311475,CG2924-PD,Q29R09,CG2924
409,FBpp0070398,temp-PA,Q9W501,temp
410,FBpp0311476,temp-PB,Q9W501,temp
411,FBpp0070399,CG3078-PA,Q9W502,CG3078
412,FBpp0309183,CG3078-PB,X2JDK7,CG3078
413,FBpp0423140,CG3078-PC,,CG3078
414,FBpp0423191,CG3078-PD,,CG3078
415,FBpp0070401,CG3191-PA,Q95R34,CG3191
416,FBpp0309620,CG3191-PC,Q95R34,CG3191
417,FBpp0070402,crn-PA,P17886,crn
418,FBpp0070403,kz-PA,O46072,kz
419,FBpp0309621,kz-PB,O46072,kz
420,FBpp0070404,Vinc-PA,O46037,Vinc
421,FBpp0309622,Vinc-PB,O46037,Vinc
422,FBpp0309623,Vinc-PC,O46037,Vinc
423,FBpp0070407,FarO-PA,Q9W508,FarO
424,FBpp0070408,CG14053-PA,Q9W510,CG14053
425,FBpp0303801,CG14053-PB,Q9W510,CG14053
426,FBpp0070409,Nmd3-PA,O46050,Nmd3
427,FBpp0070410,Cyp4d14-PA,O46051,Cyp4d14
428,FBpp0301778,Cyp4d14-PB,M9PGI4,Cyp4d14
429,FBpp0070411,Cyp4d1-PB,Q8MS75,Cyp4d1
430,FBpp0070412,Cyp4d1-PA,F6T2F9,Cyp4d1
431,FBpp0070413,wapl-PA,Q9W517,wapl
432,FBpp0070414,wapl-PB,F6QB50,wapl
433,FBpp0310572,wapl-PC,Q9W517,wapl
434,FBpp0070415,bcn92-PA,O46098,bcn92
435,FBpp0070416,ph-p-PA,P39769,ph
436,FBpp0290730,ph-p-PB,Q5U0W8,ph
437,FBpp0310186,ph-p-PC,Q5U0W8,ph
438,FBpp0311667,ph-p-PD,Q5U0W8,ph
439,FBpp0070417,ph-d-PA,Q9W523,ph
440,FBpp0111756,ph-d-PB,Q9NF31,ph
441,FBpp0070418,CG16903-PA,Q9W526,CG16903
442,FBpp0070421,AANATL7-PA,Q9W4Y1,AANATL7
443,FBpp0291635,AANATL7-PB,Q9W4Y1,AANATL7
444,FBpp0291636,AANATL7-PC,Q9W4Y1,AANATL7
445,FBpp0291637,AANATL7-PD,Q9W4Y1,AANATL7
446,FBpp0070422,wds-PA,Q9V3J8,wds
447,FBpp0300790,wds-PB,Q9V3J8,wds
448,FBpp0070423,egh-PC,O01346,egh
449,FBpp0070424,egh-PB,O01346,egh
450,FBpp0309090,egh-PD,O01346,egh
451,FBpp0070426,Seipin-PA,Q9V3X4,Seipin
452,FBpp0309091,brv3-PC,X2JI61,brv3
453,FBpp0289932,brv3-PB,Q9W4X5,brv3
454,FBpp0070429,Tsp3A-PA,Q9W4X6,Tsp3A
455,FBpp0297988,Tsp3A-PB,Q9W4X6,Tsp3A
456,FBpp0070430,eIF3g1-PA,Q9W4X7,eIF3g1
457,FBpp0070431,Smyd3-PB,Q9W4X8,Smyd3
458,FBpp0070432,Klp3A-PA,Q9XZ29,Klp3A
459,FBpp0309092,Klp3A-PB,Q9XZ29,Klp3A
460,FBpp0289931,CG13760-PC,Q9W4Y0,CG13760
461,FBpp0300791,CG13760-PD,Q7K6T9,CG13760
462,FBpp0308493,Vha36-3-PB,Q9NEF6,Vha36
463,FBpp0311750,Vha36-3-PC,Q9NEF6,Vha36
464,FBpp0070441,boi-PB,Q9W4Y6,boi
465,FBpp0070442,boi-PA,Q8SX52,boi
466,FBpp0292889,boi-PE,Q9W4Y6,boi
467,FBpp0292890,boi-PF,Q9W4Y6,boi
468,FBpp0306904,boi-PG,A8JUV7,boi
469,FBpp0070443,tko-PB,P10735,tko
470,FBpp0300988,tko-PC,D3DMP8,tko
471,FBpp0070444,gt-PB,P39572,gt
472,FBpp0070445,CG32797-PA,Q8IRW0,CG32797
473,FBpp0070446,CG12496-PA,Q9W4Y8,CG12496
474,FBpp0070454,sgg-PD,H5V852,sgg
475,FBpp0089162,sgg-PH,P18431,sgg
476,FBpp0089158,sgg-PI,P18431,sgg
